anno_pil,pil_nominale_milioni,edizione,serie_istat,fonte_id
1970,35267.4383,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1971,38486.46189,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1972,42154.73859,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1973,50911.21887,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1974,64586.02343,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1975,73975.50807,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1976,93078.45962,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1977,113100.3491,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1978,133047.8016,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1979,162758.6238,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1980,203382.8447,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1981,243632.4328,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1982,287552.2529,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1983,334832.9006,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1984,382830.7241,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1985,429648.7874,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1986,475030.6826,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1987,519650.5879,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1988,577455.0793,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1989,634021.2083,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1990,701352.0066,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1991,765806.0953,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1992,805681.777,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1993,829758.078,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1994,877708.094,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1995,947338.656,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1996,1003777.615,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1997,1048766.492,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1998,1091361.491,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1999,1127091.085,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2000,1191057.32,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2001,1248648.103,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2002,1295225.718,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2003,1335353.722,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2004,1391530.162,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2005,1429479.262,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2006,1485377.343,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2007,1546177.392,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2008,1567851.169,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2009,1520870.003,2010M11,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1990,704250.796217297,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1991,769298.294353401,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1992,809600.548605498,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1993,833888.617300431,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1994,882001.460984443,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1995,952158.19433314,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1996,1009157.60977846,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1997,1054336.42058884,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1998,1098080.77212908,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1999,1133998.08092937,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2000,1198291.8706651,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2001,1255737.75723367,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2002,1301873.03726576,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2003,1341850.13323396,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2004,1397728.27588473,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2005,1436379.46426292,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2006,1493031.30439813,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2007,1554198.90360429,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2008,1575143.87490762,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2009,1526790.43718274,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2010,1556028.64255321,2011M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1970,35267.4383036362,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1971,38486.461888733,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1972,42154.7385869499,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1973,50911.218871279,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1974,64586.0234281153,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1975,73975.5080690716,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1976,93078.4596194855,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1977,113100.349136567,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1978,133047.801618543,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1979,162758.623791675,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1980,203382.844737403,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1981,243632.432824892,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1982,287552.252858032,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1983,334832.900641255,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1984,382830.7240579,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1985,429648.787442449,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1986,475030.682618979,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1987,519650.587935127,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1988,577455.079284082,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1989,634021.208259131,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1990,701352.006643583,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1991,765806.095331977,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1992,805681.777,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1993,829758.078,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1994,877708.094,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1995,947338.656,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1996,1003777.615,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1997,1048766.492,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1998,1091361.49099999,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1999,1127091.085,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2000,1191057.31998399,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2001,1248648.10288499,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2002,1295225.718274,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2003,1335353.721804,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2004,1391530.16150482,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2005,1429479.26200668,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2006,1485377.34272408,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2007,1546177.39157512,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2008,1567761.3586174,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2009,1519702.24124548,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
2010,1548816.17579368,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1990,704250.796217297,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1991,769298.294353401,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1992,809600.548605498,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1993,833888.617300431,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1994,882001.460984443,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1995,952158.19433314,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1996,1009157.60977846,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
1997,1054336.42058884,2012M10,DCCN_PILN_SEC95,istat_pil_nominale_sdmx
