indice_ccnl_id,codice_istat,contratto_istat,anno,indice_retribuzione_contrattuale,base,fonte_id,natura_dato
agricoltura,Z0010,Agricoltura,2005,75.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2006,76.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2007,79.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2008,79.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2009,82.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2010,83.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2011,85.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2012,85.9,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2013,88.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2014,90.4,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2015,93.2,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2016,93.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2017,94.8,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2018,96.5,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2019,98.3,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
agricoltura,Z0010,Agricoltura,2020,98.6,dicembre 2021=100,istat_retribuzioni_contrattuali_sdmx,osservato
