anno,pil_anno_finale,pil_finale_milioni,pil_anno_iniziale,pil_iniziale_milioni,tasso_capitalizzazione,coefficiente_rivalutazione,edizione_pil,serie_istat,fonte_id,natura_dato,note,tasso_ufficiale_pubblicato,coefficiente_ufficiale_pubblicato,scarto_da_tasso_ufficiale
1976,1975,73975.5080690716,1970,35267.4383036362,0.15969239260091772,1.1596923926009177,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.156004,1.156004,0.003688392600917717
1977,1976,93078.4596194855,1971,38486.461888733,0.19318624983542976,1.1931862498354298,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.190509,1.190509,0.002677249835429746
1978,1977,113100.349136567,1972,42154.7385869499,0.2182137834914617,1.2182137834914617,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.216775,1.216775,0.0014387834914617037
1979,1978,133047.801618543,1973,50911.218871279,0.21182202523632032,1.2118220252363203,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.210426,1.210426,0.0013960252363203196
1980,1979,162758.623791675,1974,64586.0234281153,0.2030428398119637,1.2030428398119637,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.203363,1.203363,-0.00032016018803629476
1981,1980,203382.844737403,1975,73975.5080690716,0.22417997813067325,1.2241799781306733,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.226929,1.226929,-0.00274902186932674
1982,1981,243632.432824892,1976,93078.4596194855,0.21220810350455266,1.2122081035045527,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.214364,1.214364,-0.0021558964954473403
1983,1982,287552.252858032,1977,113100.349136567,0.20517625329489153,1.2051762532948915,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.205767,1.205767,-0.0005907467051084747
1984,1983,334832.900641255,1978,133047.801618543,0.20271875801782935,1.2027187580178293,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.202694,1.202694,2.4758017829334955e-05
1985,1984,382830.7240579,1979,162758.623791675,0.18656779038856053,1.1865677903885605,2011M3,DCCN_PILN_SEC95,istat_pil_nominale_sdmx,calcolato_da_pil_nominale_istat,Formula (PIL t-1 / PIL t-6)^(1/5)-1,0.186164,1.186164,0.00040379038856053207
