anno,sesso,eta,sopravviventi,probabilita_morte_per_mille,speranza_vita,fonte_id,natura_dato,note
2025,Totale,0,100000.0,2.56536,83.689,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,1,99743.0,0.19475,82.903,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,2,99724.0,0.14146,81.919,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,3,99710.0,0.109,80.93,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,4,99699.0,0.0906,79.939,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,5,99690.0,0.08531,78.946,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,6,99682.0,0.08325,77.953,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,7,99673.0,0.07974,76.959,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,8,99665.0,0.07544,75.965,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,9,99658.0,0.07267,74.971,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,10,99651.0,0.07135,73.976,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,11,99643.0,0.07491,72.982,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,12,99636.0,0.08684,71.987,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,13,99627.0,0.10416,70.993,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,14,99617.0,0.12588,70.001,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,15,99604.0,0.15038,69.009,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,16,99589.0,0.17441,68.02,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,17,99572.0,0.20032,67.031,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,18,99552.0,0.23371,66.045,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,19,99529.0,0.25354,65.06,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,20,99504.0,0.26491,64.076,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,21,99477.0,0.26653,63.093,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,22,99451.0,0.2668,62.11,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,23,99424.0,0.27184,61.126,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,24,99397.0,0.28193,60.143,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,25,99369.0,0.28491,59.16,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,26,99341.0,0.28672,58.176,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,27,99312.0,0.29693,57.193,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,28,99283.0,0.31275,56.21,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,29,99252.0,0.33392,55.227,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,30,99219.0,0.35879,54.246,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,31,99183.0,0.37569,53.265,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,32,99146.0,0.38683,52.285,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,33,99107.0,0.41017,51.305,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,34,99067.0,0.44324,50.326,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,35,99023.0,0.4665,49.348,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,36,98977.0,0.50457,48.37,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,37,98927.0,0.54671,47.395,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,38,98873.0,0.60418,46.42,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,39,98813.0,0.66621,45.448,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,40,98747.0,0.73815,44.478,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,41,98674.0,0.791,43.51,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,42,98596.0,0.87381,42.545,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,43,98510.0,0.96882,41.581,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,44,98415.0,1.08347,40.621,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,45,98308.0,1.20518,39.665,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,46,98189.0,1.33395,38.712,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,47,98058.0,1.46636,37.763,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,48,97915.0,1.60403,36.818,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,49,97758.0,1.72645,35.876,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,50,97589.0,1.84577,34.937,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,51,97409.0,1.99893,34.001,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,52,97214.0,2.15021,33.068,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
2025,Totale,53,97005.0,2.34164,32.138,istat_tavole_mortalita,osservato,Tavole di mortalita' ISTAT per l'Italia; anno piu' vicino alla decorrenza disponibile nel payload.
