anno,gettito_prelievo,fondo,payout_riconoscimento,scoperto,passivita_residua
2018,3.2,3.2,0.0,0.0,1352.61
2019,3.072,6.4,0.0,0.0,1375.6043699999998
2020,2.9440000000000004,9.600000000000001,0.0,0.0,1398.9896442899997
2021,2.8160000000000003,12.800000000000002,0.0,0.0,1422.7724682429296
2022,2.688,16.000000000000004,0.0,0.0,1446.9596002030592
2023,2.5600000000000005,19.200000000000003,0.0,0.0,1471.557913406511
2024,2.4320000000000004,22.400000000000006,0.0,0.0,1496.5743979344215
2025,2.304,25.600000000000005,0.0,0.0,1522.0161626993065
2026,2.1759999999999997,28.800000000000004,0.0,0.0,1547.8904374651945
2027,2.048,32.00000000000001,0.0,0.0,1574.2045749021026
2028,1.92,35.20000000000001,0.0,0.0,1600.9660526754383
2029,1.7920000000000003,38.40000000000001,0.0,0.0,1628.1824755709206
2030,1.6640000000000001,41.600000000000016,0.0,0.0,1655.861577655626
2031,1.536,44.80000000000002,0.0,0.0,1684.0112244757715
2032,1.408,48.00000000000002,0.0,0.0,1712.6394152918595
2033,1.2800000000000002,20.061101540148034,31.13889845985199,0.0,1710.615386891969
2034,1.152,0.0,31.678062720221646,9.66251711846769,1708.0177857489107
2035,1.0239999999999998,0.0,32.22675067450775,31.202750674507747,1704.8273374321343
2036,0.8960000000000001,0.0,32.785141104464124,31.889141104464123,1701.0242610640162
2037,0.768,0.0,33.35341688360816,32.58541688360816,1696.5882566184962
2038,0.6399999999999999,0.0,33.931765132369925,33.291765132369925,1691.4984918486405
2039,0.5120000000000001,0.0,34.52037738466613,34.00837738466613,1685.733588825401
2040,0.384,0.0,35.11944976719585,34.73544976719585,1679.271610068237
2041,0.2559999999999999,0.0,35.729183192941214,35.473183192941214,1672.0900442464556
2042,0.1280000000000001,0.0,36.34978357057512,36.22178357057512,1664.1657914280702
2043,0.0,0.0,36.98146203173489,36.98146203173489,1655.4751478506123
2044,0.0,0.0,37.624435178423006,37.624435178423006,1645.9937901856495
2045,0.0,0.0,38.27892535315464,38.27892535315464,1635.6967592656508
2046,0.0,0.0,38.94516093489645,38.94516093489645,1624.5584432382702
2047,0.0,0.0,39.62337666434806,39.62337666434806,1612.5525601089726
2048,0.0,0.0,40.313814002724314,40.313814002724314,1599.6521396281007
2049,0.0,0.0,41.01672152892566,41.01672152892566,1585.8295044728525
2050,0.0,0.0,41.73235538086454,41.73235538086454,1571.0562506680262
2051,0.0,0.0,42.46097974778449,42.46097974778449,1555.303227181598
2052,0.0,0.0,43.202867421711055,43.202867421711055,1538.540514621974
2053,0.0,0.0,43.95830041777068,43.95830041777068,1520.7374029527766
2054,0.0,0.0,44.727570675081665,44.727570675081665,1501.8623681278918
2055,0.0,0.0,45.51098085236036,45.51098085236036,1481.8830475337056
2056,0.0,0.0,46.3088452354283,46.3088452354283,1460.7662141063502
2057,0.0,0.0,47.121490777624196,47.121490777624196,1438.477748968534
2058,0.0,0.0,47.94925829895113,47.94925829895113,1414.9826124020476
2059,0.0,0.0,48.792503875932674,48.792503875932674,1390.2448129369495
2060,0.0,0.0,49.65160046203391,49.65160046203391,1364.2273742948437
2061,0.0,0.0,50.526939788697916,50.526939788697916,1336.892299869158
2062,0.0,0.0,51.41893461035223,51.41893461035223,1308.2005343565813
2063,0.0,0.0,52.32802137426325,52.32802137426325,1278.1119220663797
2064,0.0,0.0,53.25466341943249,53.25466341943249,1246.5851613220755
2065,0.0,0.0,54.19935484009024,54.19935484009024,1213.5777542244603
2066,0.0,0.0,55.16262519202092,55.16262519202092,1179.0459508542551
2067,0.0,0.0,56.145045278774056,56.145045278774056,1142.9446867400034
2068,0.0,0.0,57.14723433700017,57.14723433700017,1105.2275120775832
2069,0.0,0.0,58.16986905671491,58.16986905671491,1065.846510726187
2070,0.0,0.0,59.21369504034372,59.21369504034372,1024.7522063681884
2071,0.0,0.0,60.279541551069904,60.279541551069904,981.8934523253776
2072,0.0,0.0,61.3683407703361,61.3683407703361,937.2173002445728
2073,0.0,0.0,62.481153349638184,62.481153349638184,890.6688409990924
2074,0.0,0.0,63.619202928506596,63.619202928506596,842.1910083675702
2075,0.0,0.0,64.78392372058232,64.78392372058232,791.7243317892364
2076,0.0,0.0,65.97702764910304,65.97702764910304,739.2066177805502
2077,0.0,0.0,67.20060161641366,67.20060161641366,684.5725286664058
2078,0.0,0.0,68.45725286664057,68.45725286664057,627.753008787094
2079,0.0,0.0,69.75033430967711,69.75033430967711,568.6744756267974
2080,0.0,0.0,71.08430945334968,71.08430945334968,507.2576322591033
2081,0.0,0.0,72.46537603701475,72.46537603701475,443.4156359704932
2082,0.0,0.0,73.9026059950822,73.9026059950822,377.0510957869094
2083,0.0,0.0,75.41021915738187,75.41021915738187,308.05074525790496
2084,0.0,0.0,77.01268631447624,77.01268631447624,236.2749216128131
2085,0.0,0.0,78.75830720427103,78.75830720427103,161.53328807595986
2086,0.0,0.0,80.76664403797993,80.76664403797993,83.51270993527122
2087,0.0,0.0,83.51270993527122,83.51270993527122,1.4197160688996036
2088,0.0,0.0,1.4197160688996036,1.4197160688996036,0.0241351731712931
2089,0.0,0.0,0.0241351731712931,0.0241351731712931,0.00041029794391198027
2090,0.0,0.0,0.00041029794391198027,0.00041029794391198027,6.975065046503604e-06
2091,0.0,0.0,6.975065046503604e-06,6.975065046503604e-06,1.1857610579056047e-07
2092,0.0,0.0,1.1857610579056047e-07,1.1857610579056047e-07,2.015793798439514e-09
2093,0.0,0.0,2.015793798439514e-09,2.015793798439514e-09,3.4268494573471496e-11
