anno,gettito_prelievo,fondo,payout_riconoscimento,scoperto,passivita_residua
2018,3.5999999999999996,3.5999999999999996,0.0,0.0,2367.0674999999997
2019,3.5999999999999996,7.343999999999999,0.0,0.0,2407.3076474999993
2020,3.5999999999999996,11.237759999999998,0.0,0.0,2448.231877507499
2021,3.5999999999999996,15.287270399999999,0.0,0.0,2489.8518194251265
2022,3.5999999999999996,19.498761216,0.0,0.0,2532.1793003553535
2023,3.5999999999999996,23.87871166464,0.0,0.0,2575.226348461394
2024,3.5999999999999996,28.4338601312256,0.0,0.0,2619.0051963852375
2025,3.5999999999999996,33.17121453647462,0.0,0.0,2663.5282847237863
2026,3.5999999999999996,38.09806311793361,0.0,0.0,2708.8082655640906
2027,3.5999999999999996,43.221985642650964,0.0,0.0,2754.85800607868
2028,3.5999999999999996,48.550865068357005,0.0,0.0,2801.690592182017
2029,3.5999999999999996,54.09289967109129,0.0,0.0,2849.319332249111
2030,3.5999999999999996,59.856615657934945,0.0,0.0,2897.7577608973456
2031,3.5999999999999996,65.85088028425234,0.0,0.0,2947.0196428326003
2032,3.5999999999999996,72.08491549562243,0.0,0.0,2997.1189767607543
2033,3.5999999999999996,24.07523981070633,54.493072304740984,0.0,2993.5769270609458
2034,3.5999999999999996,0.0,55.43660976038788,26.7983603572533,2989.0311250605937
2035,3.5999999999999996,0.0,56.39681368038856,52.79681368038856,2983.4478405062346
2036,3.5999999999999996,0.0,57.373996932812204,53.7739969328122,2976.7924568620283
2037,3.5999999999999996,0.0,58.36847954631428,54.76847954631428,2969.0294490823685
2038,3.5999999999999996,0.0,59.38058898164737,55.78058898164737,2960.122360735121
2039,3.5999999999999996,0.0,60.41066042316574,56.810660423165736,2950.0337804444525
2040,3.5999999999999996,0.0,61.45903709259276,57.85903709259276,2938.7253176194154
2041,3.5999999999999996,0.0,62.52607058764713,58.92607058764713,2926.157577431298
2042,3.5999999999999996,0.0,63.612121248506476,60.012121248506475,2912.2901349991234
2043,3.5999999999999996,0.0,64.71755855553607,61.11755855553607,2897.081508738572
2044,3.4559999999999995,0.0,65.84276156224028,62.38676156224028,2880.4891328248873
2045,3.312,0.0,66.98811936802063,63.676119368020636,2862.4693287148893
2046,3.1679999999999997,0.0,68.1540316360688,64.98603163606879,2842.9772756669736
2047,3.0239999999999996,0.0,69.34090916260911,66.31690916260911,2821.966980190703
2048,2.88,0.0,70.54917450476758,67.66917450476758,2799.391244349177
2049,2.7359999999999998,0.0,71.77926267561993,69.04326267561993,2775.201632827493
2050,2.5919999999999996,0.0,73.03162191651298,70.43962191651298,2749.3484386690475
2051,2.4479999999999995,0.0,74.3067145586229,71.8587145586229,2721.780647567798
2052,2.304,0.0,75.60501798799439,73.30101798799438,2692.445900588456
2053,2.1599999999999997,0.0,76.92702573109874,74.76702573109874,2661.290455167361
2054,2.016,0.0,78.27324868139297,76.25724868139297,2628.259144223813
2055,1.8719999999999999,0.0,79.6442164916307,77.7722164916307,2593.295333183987
2056,1.7279999999999998,0.0,81.0404791619996,79.3124791619996,2556.340874686115
2057,1.5839999999999996,0.0,82.46260886084242,80.87860886084242,2517.3360606949364
2058,1.44,0.0,83.91120202316455,82.47120202316455,2476.2195717035856
2059,1.2959999999999998,0.0,85.38688178288227,84.09088178288226,2432.928422639664
2060,1.1519999999999997,0.0,86.89030080855943,85.73830080855943,2387.3979050159787
2061,1.008,0.0,88.42214463022144,87.41414463022144,2339.561524771029
2062,0.8639999999999999,0.0,89.9831355681165,89.11913556811649,2289.35093512402
2063,0.7199999999999998,0.0,91.5740374049608,90.8540374049608,2236.695863616167
2064,0.5760000000000001,0.0,93.19566098400696,92.61966098400697,2181.524032313635
2065,0.43199999999999994,0.0,94.84887097015805,94.41687097015804,2123.7610698928083
2066,0.2879999999999998,0.0,96.53459408603675,96.24659408603675,2063.330413994949
2067,0.1440000000000001,0.0,98.25382923785472,98.10982923785471,2000.1532017950083
2068,0.0,0.0,100.00766008975042,100.00766008975042,1934.1481461357728
2069,0.0,0.0,101.7972708492512,101.7972708492512,1865.2313937708295
2070,0.0,0.0,103.62396632060164,103.62396632060164,1793.316361144332
2071,0.0,0.0,105.48919771437247,105.48919771437247,1718.313541569413
2072,0.0,0.0,107.39459634808831,107.39459634808831,1640.1302754280046
2073,0.0,0.0,109.34201836186698,109.34201836186698,1558.6704717484133
2074,0.0,0.0,111.33360512488666,111.33360512488666,1473.8342646432495
2075,0.0,0.0,113.37186651101919,113.37186651101919,1385.5175806311656
2076,0.0,0.0,115.45979838593047,115.45979838593047,1293.6115811159648
2077,0.0,0.0,117.60105282872406,117.60105282872406,1198.001925166212
2078,0.0,0.0,119.8001925166212,119.8001925166212,1098.5677653774164
2079,0.0,0.0,122.06308504193515,122.06308504193515,995.1803323468971
2080,0.0,0.0,124.39754154336214,124.39754154336214,887.7008564534322
2081,0.0,0.0,126.81440806477602,126.81440806477602,775.9773629483644
2082,0.0,0.0,129.32956049139406,129.32956049139406,659.8394176270924
2083,0.0,0.0,131.96788352541847,131.96788352541847,539.0888042013344
2084,0.0,0.0,134.7722010503336,134.7722010503336,413.48111282242337
2085,0.0,0.0,137.82703760747447,137.82703760747447,282.6832541329301
2086,0.0,0.0,141.34162706646504,141.34162706646504,146.14724238672483
2087,0.0,0.0,146.14724238672483,146.14724238672483,2.484503120574317
2088,0.0,0.0,2.484503120574317,2.484503120574317,0.04223655304976326
2089,0.0,0.0,0.04223655304976326,0.04223655304976326,0.0007180214018459724
2090,0.0,0.0,0.0007180214018459724,0.0007180214018459724,1.220636383138143e-05
2091,0.0,0.0,1.220636383138143e-05,1.220636383138143e-05,2.0750818513348357e-07
2092,0.0,0.0,2.0750818513348357e-07,2.0750818513348357e-07,3.527639147269189e-09
2093,0.0,0.0,3.527639147269189e-09,3.527639147269189e-09,5.996986550357584e-11
