anno,spesa_legacy,entrate_payg,clawback_irpef,saldo_corrente,stock_btp
2018,359.6,188.24242424242425,57.0,-114.35757575757577,114.35757575757577
2019,347.61333333333334,183.5757575757576,55.1,-108.93757575757576,228.2125272727273
2020,335.62666666666667,178.9090909090909,53.2,-103.51757575757574,341.54324170303033
2021,323.64000000000004,174.24242424242425,51.300000000000004,-98.09757575757578,454.3271768538364
2022,311.65333333333336,169.5757575757576,49.4,-92.67757575757577,566.5408212161271
2023,299.6666666666667,164.9090909090909,47.5,-87.25757575757578,678.1596522859963
2024,287.68,160.24242424242425,45.6,-81.83757575757576,789.1580930918699
2025,275.6933333333333,155.57575757575756,43.699999999999996,-76.41757575757578,899.509466852396
2026,263.7066666666667,150.9090909090909,41.800000000000004,-70.99757575757579,1009.1859496846248
2027,251.72,146.24242424242425,39.9,-65.57757575757574,1118.1585212786395
2028,239.73333333333338,141.5757575757576,38.00000000000001,-60.157575757575785,1226.3969134511967
2029,227.74666666666667,136.9090909090909,36.1,-54.73757575757577,1333.869556487174
2030,215.76000000000002,132.24242424242425,34.199999999999996,-49.31757575757578,1440.543523173698
2031,203.77333333333334,127.57575757575756,32.3,-43.897575757575765,1546.3844704277428
2032,191.7866666666667,122.9090909090909,30.4,-38.47757575757578,1651.3565784137115
2033,179.8,118.24242424242425,28.5,-33.05757575757576,1755.422487043077
2034,167.81333333333333,113.57575757575756,26.6,-27.637575757575775,1858.543229743505
2035,155.82666666666668,108.9090909090909,24.7,-22.217575757575787,1960.6781643800514
2036,143.84,104.24242424242425,22.8,-16.797575757575757,2061.784901205969
2037,131.85333333333335,99.57575757575758,20.900000000000002,-11.37757575757577,2161.8192277154017
2038,119.86666666666669,94.9090909090909,19.000000000000004,-5.957575757575782,2260.7350302647396
2039,107.88000000000002,90.24242424242425,17.1,-0.5375757575757802,2358.484212323699
2040,95.89333333333336,85.57575757575759,15.200000000000003,4.882424242424236,2455.0166092111936
2041,83.90666666666665,80.9090909090909,13.299999999999997,10.302424242424252,2550.2798991648506
2042,71.91999999999999,76.24242424242424,11.399999999999997,15.722424242424239,2644.2195105865153
2043,59.93333333333332,71.57575757575756,9.499999999999998,21.14242424242424,2736.7785252993112
2044,47.94666666666666,66.9090909090909,7.599999999999998,26.562424242424242,2827.8975776447573
2045,35.959999999999994,62.242424242424235,5.699999999999998,31.982424242424244,2917.5147492410574
2046,23.97333333333333,57.57575757575758,3.799999999999999,37.402424242424246,3005.5654592159985
2047,11.986666666666665,52.90909090909091,1.8999999999999995,42.82242424242424,3091.982349719862
2048,0.0,48.24242424242424,0.0,48.24242424242424,3176.6951665153924
2049,0.0,43.41818181818182,0.0,43.41818181818182,3269.8748768573723
2050,0.0,38.593939393939394,0.0,38.593939393939394,3371.8855571683002
2051,0.0,33.769696969696966,0.0,33.769696969696966,3483.10693915684
2052,0.0,28.945454545454545,0.0,28.945454545454545,3603.9350829951295
2053,0.0,24.12121212121212,0.0,24.12121212121212,3734.783079442708
2054,0.0,19.296969696969697,0.0,19.296969696969697,3876.0817821617748
2055,0.0,14.472727272727274,0.0,14.472727272727274,4028.280571522004
2056,0.0,9.648484848484847,0.0,9.648484848484847,4191.848151248965
2057,0.0,4.824242424242423,0.0,4.824242424242423,4367.273379328428
2058,0.0,0.0,0.0,0.0,4555.06613463955
2059,0.0,0.0,0.0,0.0,4750.9339784290505
2060,0.0,0.0,0.0,0.0,4955.2241395015
2061,0.0,0.0,0.0,0.0,5168.298777500065
2062,0.0,0.0,0.0,0.0,5390.535624932568
2063,0.0,0.0,0.0,0.0,5622.328656804668
2064,0.0,0.0,0.0,0.0,5864.088789047269
2065,0.0,0.0,0.0,0.0,6116.244606976301
2066,0.0,0.0,0.0,0.0,6379.243125076282
2067,0.0,0.0,0.0,0.0,6653.5505794545625
2068,0.0,0.0,0.0,0.0,6939.653254371108
2069,0.0,0.0,0.0,0.0,7238.058344309065
2070,0.0,0.0,0.0,0.0,7549.294853114356
2071,0.0,0.0,0.0,0.0,7873.914531798273
2072,0.0,0.0,0.0,0.0,8212.492856665598
2073,0.0,0.0,0.0,0.0,8565.630049502219
2074,0.0,0.0,0.0,0.0,8933.952141630814
2075,0.0,0.0,0.0,0.0,9318.11208372094
2076,0.0,0.0,0.0,0.0,9718.79090332094
2077,0.0,0.0,0.0,0.0,10136.69891216374
2078,0.0,0.0,0.0,0.0,10572.576965386781
2079,0.0,0.0,0.0,0.0,11027.197774898412
2080,0.0,0.0,0.0,0.0,11501.367279219043
2081,0.0,0.0,0.0,0.0,11995.926072225462
2082,0.0,0.0,0.0,0.0,12511.750893331156
2083,0.0,0.0,0.0,0.0,13049.756181744397
2084,0.0,0.0,0.0,0.0,13610.895697559405
2085,0.0,0.0,0.0,0.0,14196.164212554459
2086,0.0,0.0,0.0,0.0,14806.5992736943
2087,0.0,0.0,0.0,0.0,15443.283042463156
2088,0.0,0.0,0.0,0.0,16107.34421328907
2089,0.0,0.0,0.0,0.0,16799.9600144605
2090,0.0,0.0,0.0,0.0,17522.3582950823
2091,0.0,0.0,0.0,0.0,18275.81970177084
2092,0.0,0.0,0.0,0.0,19061.67994894699
2093,0.0,0.0,0.0,0.0,19881.332186751708
