classe_lorda_originale,anno_dati,anno_valori,numero_beneficiari,lordo_mensile,netto_mensile_stimato,lordo_annuo,netto_annuo_stimato,irpef_e_addizionali_annue,aliquota_media_effettiva_pct,classe_aperta,sopra_2000_lordi,sopra_2500_netti,fonte,flag_qualita
"1000,00-1249,99",2016,2024,1725424.0,1377.252252252252,1135.3888777831082,17904.279279279275,14760.055411180407,3144.2238680988685,17.561298162600135,False,False,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"1250,00-1499,99",2016,2024,1666361.0,1683.3083083083081,1344.9274099049737,21883.008008008004,17484.05632876466,4398.951679243346,20.102134394108738,False,False,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"1500,00-1749,99",2016,2024,1636586.0,1989.364364364364,1558.3120958729928,25861.736736736733,20258.057246348908,5603.679490387825,21.667839045116292,False,False,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"1750,00-1999,99",2016,2024,1148332.0,2295.42042042042,1751.622500997501,29840.465465465462,22771.092512967512,7069.37295249795,23.69055858287256,False,True,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"2000,00-2249,99",2016,2024,956322.0,2601.476476476476,1934.3936130186125,33819.194194194184,25147.116969241964,8672.07722495222,25.642471476866156,False,True,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"2250,00-2499,99",2016,2024,695542.0,2907.532532532532,2117.1647250397245,37797.92292292292,27523.14142551642,10274.781497406497,27.183455340545333,False,True,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"250,00-499,99",2016,2024,1411717.0,459.084084084084,449.44331831831823,5968.093093093092,5842.763138138137,125.3299549549547,2.099999999999996,False,False,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"2500,00-2999,99",2016,2024,856464.0,3366.6166166166163,2391.321393071393,43766.01601601601,31087.178109928107,12678.837906087902,28.96959572799162,False,True,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"3000,00 e piÃ¹",2016,2024,1104624.0,3934.656656656656,2726.280350658351,51150.53653653653,35441.64455855856,15708.891977977968,30.711099123578496,True,True,True,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,stima_esplicita
"500,00-749,99",2016,2024,2486968.0,765.14014014014,716.3118135393777,9946.82182182182,9312.05357601191,634.7682458099116,6.381618743962279,False,False,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"750,00-999,99",2016,2024,1755743.0,1071.196196196196,925.850345661243,13925.55055055055,12036.054493596159,1889.496056954391,13.568555513086622,False,False,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
"Fino a 249,99",2016,2024,620425.0,153.02802802802802,149.81443943943944,1989.3643643643643,1947.5877127127126,41.77665165165172,2.1000000000000036,False,False,False,INPS open data dataset 1824 (ID-5302); rivalutato con HICP Eurostat,verificato
